complaint_date,borough,total_complaints,high_severity_complaints,medium_severity_complaints,other_severity_complaints,weekend_complaints,total_complaints_ma7
2023-03-29,(Null),1,0,0,0,0,1.57
2024-09-22,(Null),1,0,0,0,1,3.29
2023-05-21,(Null),1,0,0,0,1,2.14
2023-06-03,(Null),1,0,0,0,1,3.29
2023-11-23,(Null),1,0,0,0,0,2.71
2023-06-09,(Null),1,0,0,0,0,1.57
2023-07-23,(Null),1,0,0,0,1,3.0
2023-05-06,(Null),1,0,0,0,1,1.71
2024-04-20,(Null),1,0,0,0,1,1.0
2024-03-24,(Null),1,0,0,0,1,1.0
2023-01-23,(Null),1,0,0,0,0,2.57
2023-02-11,(Null),1,0,0,0,1,2.43
2024-06-19,(Null),1,0,0,0,0,2.43
2023-08-10,(Null),1,0,0,0,0,2.57
2023-03-04,(Null),1,0,0,0,1,2.57
2023-08-19,(Null),1,0,0,0,1,3.29
2024-02-17,(Null),1,0,0,0,1,1.0
2024-04-27,(Null),1,0,0,0,1,1.43
2023-04-28,(Null),1,0,0,0,0,3.0
2024-06-13,(Null),1,0,0,0,0,2.57
2024-03-20,(Null),1,0,0,0,0,1.0
2024-01-29,(Null),1,0,0,0,0,1.0
2024-03-23,(Null),1,0,0,0,1,1.0
2024-06-16,(Null),1,0,0,0,1,2.14
2024-05-28,(Null),1,0,0,0,0,1.86
2024-04-21,(Null),1,0,0,0,1,1.0
2023-12-16,(Null),1,0,0,0,1,2.43
2024-04-16,(Null),1,0,0,0,0,1.0
2023-01-07,(Null),1,0,0,0,1,2.29
2023-02-23,(Null),1,0,0,0,0,2.71
2023-06-18,(Null),1,0,0,0,1,2.29
2023-11-14,(Null),1,0,0,0,0,3.29
2023-03-22,(Null),1,0,0,0,0,2.71
2024-03-01,(Null),1,0,0,0,0,1.0
2024-04-29,(Null),1,0,0,0,0,1.43
2023-04-07,(Null),1,0,0,0,0,1.57
2022-12-28,(Null),1,0,0,0,0,2.29
2024-01-31,(Null),1,0,0,0,0,1.0
2024-09-03,(Null),1,0,0,0,0,2.57
2023-01-22,(Null),1,0,0,0,1,2.71
2023-04-22,(Null),1,0,0,0,1,3.29
2024-10-04,(Null),1,0,0,0,0,2.29
2023-07-21,(Null),1,0,0,0,0,3.43
2023-12-09,(Null),1,0,0,0,1,6.29
2024-08-10,(Null),1,0,0,0,1,2.43
2022-12-14,(Null),1,0,0,0,0,3.14
2023-05-08,(Null),1,0,0,0,0,1.71
2023-09-29,(Null),1,0,0,0,0,2.71
2024-07-07,(Null),1,0,0,0,1,9.43
2023-04-01,(Null),1,0,0,0,1,1.71
2023-02-02,(Null),1,0,0,0,0,3.43
2023-03-24,(Null),1,0,0,0,0,2.29
2023-06-07,(Null),1,0,0,0,0,2.71
2023-06-08,(Null),1,0,0,0,0,2.0
2024-12-01,(Null),1,0,0,0,1,3.71
2024-01-08,(Null),1,0,0,0,0,1.14
2024-11-13,(Null),1,0,0,0,0,2.86
2023-01-01,(Null),1,0,0,0,1,2.57
2023-03-08,(Null),1,0,0,0,0,2.57
2023-12-19,(Null),1,0,0,0,0,2.0
2023-09-25,(Null),1,0,0,0,0,2.43
2022-11-26,(Null),1,0,0,0,1,4.43
2023-09-08,(Null),1,0,0,0,0,2.43
2023-05-09,(Null),1,0,0,0,0,1.71
2023-04-17,(Null),1,0,0,0,0,2.71
2024-03-15,(Null),1,0,0,0,0,1.0
2023-01-14,(Null),1,0,0,0,1,3.0
2023-04-10,(Null),1,0,0,0,0,2.0
2023-12-21,(Null),1,0,0,0,0,1.29
2024-04-09,(Null),1,0,0,0,0,1.0
2024-12-27,(Null),1,0,0,0,0,2.71
2024-01-04,(Null),1,0,0,0,0,1.14
2023-03-13,(Null),1,0,0,0,0,2.71
2023-10-18,(Null),1,0,0,0,0,3.86
2023-04-02,(Null),1,0,0,0,1,1.57
2024-06-02,(Null),1,0,0,0,1,2.29
2024-10-24,(Null),1,0,0,0,0,4.43
2023-10-24,(Null),1,0,0,0,0,2.71
2024-05-30,(Null),1,0,0,0,0,1.71
2023-10-07,(Null),1,0,0,0,1,3.29
2023-12-23,(Null),1,0,0,0,1,1.29
2023-04-03,(Null),1,0,0,0,0,1.43
2023-07-10,(Null),1,0,0,0,0,2.86
2023-01-26,(Null),1,0,0,0,0,2.0
