borough,complaint_dayofweek,complaint_hour,complaint_count,pct_of_all_high_severity
(Null),1,9,2,0.0
(Null),1,10,2,0.0
(Null),1,7,3,0.0
(Null),1,6,3,0.0
(Null),1,8,4,0.0
(Null),1,11,5,0.0
(Null),1,19,5,0.0
(Null),1,4,5,0.0
(Null),1,5,6,0.0
(Null),1,13,7,0.0
(Null),1,3,7,0.0
(Null),1,22,7,0.0
(Null),1,15,7,0.0
(Null),1,0,8,0.0
(Null),1,16,8,0.0
(Null),1,17,8,0.0
(Null),1,12,8,0.0
(Null),1,21,8,0.0
(Null),1,23,9,0.0
(Null),1,1,9,0.0
(Null),1,14,9,0.0
(Null),1,20,9,0.0
(Null),1,18,10,0.0
(Null),1,2,18,0.0
Staten Island,1,6,201,0.01
Staten Island,1,7,213,0.01
Staten Island,1,5,278,0.01
Staten Island,1,9,367,0.01
Staten Island,1,8,375,0.01
Staten Island,1,11,396,0.01
Staten Island,1,4,405,0.01
Staten Island,1,10,429,0.01
Staten Island,1,13,497,0.02
Staten Island,1,14,503,0.02
Staten Island,1,2,540,0.02
Staten Island,1,3,552,0.02
Staten Island,1,1,575,0.02
Staten Island,1,23,609,0.02
Staten Island,1,16,609,0.02
Staten Island,1,17,613,0.02
Staten Island,1,15,631,0.02
Staten Island,1,19,633,0.02
Staten Island,1,18,649,0.02
Staten Island,1,21,659,0.02
Staten Island,1,20,687,0.02
Staten Island,1,22,692,0.02
Staten Island,1,12,703,0.02
Staten Island,1,0,841,0.03
Bronx,1,7,1364,0.05
Manhattan,1,7,1374,0.05
Queens,1,7,1474,0.05
Manhattan,1,6,1599,0.05
Queens,1,6,1629,0.05
Bronx,1,6,1681,0.06
Bronx,1,8,1759,0.06
Manhattan,1,8,1896,0.06
Bronx,1,9,1955,0.07
Brooklyn,1,7,1962,0.07
Queens,1,8,2001,0.07
Bronx,1,10,2152,0.07
Bronx,1,11,2226,0.07
Bronx,1,5,2230,0.08
Brooklyn,1,6,2248,0.08
Manhattan,1,5,2322,0.08
Queens,1,10,2363,0.08
Queens,1,9,2386,0.08
Manhattan,1,9,2389,0.08
Queens,1,5,2427,0.08
Manhattan,1,10,2458,0.08
Queens,1,11,2500,0.08
Bronx,1,13,2692,0.09
Manhattan,1,11,2693,0.09
Queens,1,13,2780,0.09
Brooklyn,1,8,2813,0.09
Bronx,1,14,3052,0.1
Bronx,1,12,3082,0.1
Queens,1,14,3102,0.1
Brooklyn,1,9,3141,0.11
Brooklyn,1,5,3222,0.11
Bronx,1,4,3324,0.11
Bronx,1,15,3461,0.12
Brooklyn,1,10,3519,0.12
Queens,1,15,3521,0.12
Manhattan,1,23,3528,0.12
Manhattan,1,22,3533,0.12
Bronx,1,16,3560,0.12
Bronx,1,23,3565,0.12
Bronx,1,3,3582,0.12
Manhattan,1,13,3613,0.12
Brooklyn,1,11,3622,0.12
Bronx,1,17,3640,0.12
Queens,1,16,3724,0.13
Bronx,1,2,3764,0.13
Manhattan,1,21,3775,0.13
Queens,1,17,3796,0.13
Bronx,1,22,3824,0.13
Queens,1,12,3880,0.13
Bronx,1,19,3888,0.13
Bronx,1,18,3926,0.13
Bronx,1,21,3929,0.13
Queens,1,23,3986,0.13
Bronx,1,1,4080,0.14
Queens,1,18,4081,0.14
Manhattan,1,14,4086,0.14
Queens,1,4,4097,0.14
Bronx,1,20,4099,0.14
Queens,1,3,4111,0.14
Manhattan,1,20,4111,0.14
Queens,1,19,4132,0.14
Brooklyn,1,13,4135,0.14
Queens,1,2,4151,0.14
Queens,1,21,4219,0.14
Manhattan,1,4,4224,0.14
Manhattan,1,19,4228,0.14
Manhattan,1,12,4254,0.14
Queens,1,20,4272,0.14
Queens,1,22,4405,0.15
Queens,1,1,4450,0.15
Brooklyn,1,4,4567,0.15
Brooklyn,1,14,4621,0.16
Manhattan,1,15,4668,0.16
Manhattan,1,18,4672,0.16
Manhattan,1,16,4744,0.16
Bronx,1,0,4934,0.17
Manhattan,1,17,4956,0.17
Brooklyn,1,3,5138,0.17
Manhattan,1,3,5195,0.17
Brooklyn,1,15,5247,0.18
Brooklyn,1,23,5275,0.18
Brooklyn,1,16,5333,0.18
Brooklyn,1,12,5335,0.18
Queens,1,0,5431,0.18
Brooklyn,1,2,5462,0.18
Manhattan,1,2,5593,0.19
Brooklyn,1,22,5666,0.19
Brooklyn,1,21,5674,0.19
Brooklyn,1,19,5711,0.19
Brooklyn,1,17,5723,0.19
Manhattan,1,1,5782,0.19
Brooklyn,1,18,5907,0.2
Brooklyn,1,20,6030,0.2
Manhattan,1,0,6136,0.21
Brooklyn,1,1,6218,0.21
Brooklyn,1,0,8169,0.27
(Null),2,6,3,0.0
(Null),2,5,4,0.0
(Null),2,1,5,0.0
(Null),2,2,5,0.0
(Null),2,3,5,0.0
(Null),2,4,5,0.0
(Null),2,11,6,0.0
(Null),2,7,8,0.0
(Null),2,8,10,0.0
(Null),2,10,13,0.0
(Null),2,22,14,0.0
(Null),2,23,14,0.0
(Null),2,13,14,0.0
(Null),2,20,15,0.0
(Null),2,9,16,0.0
(Null),2,0,18,0.0
(Null),2,14,19,0.0
(Null),2,21,20,0.0
(Null),2,17,20,0.0
(Null),2,15,21,0.0
(Null),2,12,22,0.0
(Null),2,19,22,0.0
(Null),2,16,26,0.0
(Null),2,18,27,0.0
Staten Island,2,5,201,0.01
Staten Island,2,6,218,0.01
Staten Island,2,4,253,0.01
Staten Island,2,3,295,0.01
Staten Island,2,7,344,0.01
Staten Island,2,2,358,0.01
Staten Island,2,1,472,0.02
Staten Island,2,11,513,0.02
Staten Island,2,10,594,0.02
Staten Island,2,23,602,0.02
Staten Island,2,13,612,0.02
Staten Island,2,8,619,0.02
Staten Island,2,22,650,0.02
Staten Island,2,21,651,0.02
Staten Island,2,9,676,0.02
Staten Island,2,19,705,0.02
Staten Island,2,16,708,0.02
Staten Island,2,14,728,0.02
Staten Island,2,17,755,0.03
Staten Island,2,18,761,0.03
Staten Island,2,20,781,0.03
Staten Island,2,0,850,0.03
Staten Island,2,15,885,0.03
Staten Island,2,12,999,0.03
Manhattan,2,6,1316,0.04
Manhattan,2,5,1390,0.05
Bronx,2,5,1450,0.05
